I1215 12:18:04.606766       1 server.go:253] 1
I1215 12:18:04.610285       1 server.go:259] 2
I1215 12:18:04.610416       1 server.go:263] 3
I1215 12:18:05.031596       1 serving.go:348] Generated self-signed cert in-memory
I1215 12:18:05.031639       1 options.go:538] "最开始的选项配置中o.GodelComponentConfig.SchedulerName" name="godel-scheduler"
I1215 12:18:05.031651       1 options.go:546] 配置文件长度不为0
W1215 12:18:06.393792       1 client_config.go:617] Neither --kubeconfig nor --master was specified.  Using the inClusterConfig.  This might not work.
I1215 12:18:06.394000       1 options.go:317] "WARN: Neither --kubeconfig nor --master was specified. Using default API client. This might not work"
I1215 12:18:06.403679       1 server.go:279] "cc.GodelComponentConfig.SchedulerName" name="godel-scheduler"
I1215 12:18:06.403873       1 server.go:280] "cc.ComponentConfig.SchedulerIndex" index=2
I1215 12:18:06.404925       1 server.go:155] "Starting Kubernetes Scheduler" version="v0.0.0-master+$Format:%H$"
I1215 12:18:06.405077       1 server.go:158] "Golang settings" GOGC="" GOMAXPROCS="" GOTRACEBACK=""
I1215 12:18:06.405356       1 server.go:165] 所有informer启动成功
I1215 12:18:06.405508       1 server.go:172] 等待informer同步
I1215 12:18:06.506383       1 server.go:174] 寻常informer同步完成
I1215 12:18:06.506406       1 server.go:181] 启动crd-informer同步
I1215 12:18:06.607063       1 server.go:185] crd-informer同步完成
I1215 12:18:06.607107       1 scheduler.go:102] c.crdClient不为nil
I1215 12:18:06.609171       1 scheduler.go:186] "WARN: scheduler was gone, should check this" schedulerName="my-cus-k8smy-cus-godel-scheduler" err="schedulers.scheduling.godel.kubewharf.io \"my-cus-k8smy-cus-godel-scheduler\" not found"
I1215 12:18:06.615959       1 eventhandlers.go:374] "比较调度器名称" schedulerCRDName="my-cus-k8smy-cus-godel-scheduler" currentSchedulerName="my-cus-k8smy-cus-godel-scheduler"
I1215 12:18:06.618419       1 eventhandlers.go:374] "比较调度器名称" schedulerCRDName="my-cus-k8smy-cus-godel-scheduler" currentSchedulerName="my-cus-k8smy-cus-godel-scheduler"
I1215 12:18:06.618528       1 eventhandlers.go:374] "比较调度器名称" schedulerCRDName="my-cus-k8smy-cus-godel-scheduler" currentSchedulerName="my-cus-k8smy-cus-godel-scheduler"
I1215 12:18:06.618580       1 scheduler.go:243] onSchedulerUpdate函数被调用
I1215 12:18:06.619089       1 scheduler.go:131] 更新一次调度器资源
